year,month,day,ADBE,AMD,ADI,AAPL,AMAT,ADSK,GLW,HPQ,IBM,INTC,MU,MSFT,MSI,ORCL,SWKS,TER,TXN,TYL,WDC,
1990,02,28,0.109657517,0.056119937,0.028124469,0.001450066,-0.020263142,0.049316683,0.025986189,-0.014832496,0.027770151,0.008126069,0.194208894,0.028335899,0.05320608,0.017451019,-0.039423092,-0.005821645,0.023689108,0.038981048,0.035717825,
1990,03,30,0.099723084,0.043780511,0.006363962,0.073259992,0.039756171,0.010695621,0.017565508,0.025710152,0.009306388,0.015929159,0.004630246,0.049842673,0.023555511,-0.073879284,0.039423092,0.072765452,0.01424721,0.012416354,0.073426644,
1990,04,30,0.002843501,-0.018229717,-0.087127714,-0.009426438,-0.021309286,-0.017134085,-0.001209338,-0.021917676,0.011629325,-0.024055228,0,0.020149458,0.014779624,-0.075099265,0.017741818,-0.072765452,-0.027821128,0,0.014422439,
1990,05,31,-0.030932151,0.079184556,0.059964055,0.021338056,0.137665847,0.061522439,0.028222355,0.040495,0.046484449,0.086863278,0.042205868,0.099879352,0.090758745,0.094698191,-0.017741818,0.056763031,0.091768655,-0.345863629,0.031335052,
1990,06,29,0.01356479,-0.043468742,-0.014218919,0.035402321,0.008682141,0.045096689,-0.053836547,-0.004583838,-0.009144589,-0.011410176,-0.00813303,0.017501662,0.004898065,0.068633008,0.017741818,0,-0.023349626,0,0.025299346,
1990,07,31,-0.019018714,-0.132630791,-0.038091903,-0.027590264,-0.038871216,-0.017976534,0,-0.039703638,-0.022763064,-0.023705074,-0.071048216,-0.058029941,-0.011844658,-0.13678602,-0.017741818,-0.063178825,-0.092767268,-0.057991947,-0.038354896,
1990,08,31,-0.147599706,-0.114708603,-0.015443758,-0.053734836,-0.105660514,-0.029525057,-0.04164338,-0.09211616,-0.03419912,-0.124901399,-0.096910013,-0.033971243,-0.053907777,-0.161912813,-0.039423092,-0.12907405,-0.061892494,-0.04991345,-0.100460456,
1990,09,28,-0.118249455,-0.020690118,-0.025645585,-0.105803726,-0.073502303,-0.072676674,-0.017104871,-0.017543242,0.018775306,-0.001645907,-0.037806797,0.01047326,-0.055921845,-0.252676373,-0.043362278,-0.113969367,0.008673539,-0.017033339,-0.18751399,
1990,10,31,0.10147224,-0.121415601,-0.036226675,0.025397389,-0.11870866,-0.040614947,0.024975751,-0.110068535,-0.003568436,0.003211202,-0.019927314,0.005183049,-0.067915668,-0.082186756,0.021314619,-0.070556759,-0.068777464,-0.017728767,-0.045757491,
1990,11,30,0.022052887,0.052699304,0.053234356,0.078915907,0.01827536,0.099691968,0.017240619,0.06217729,0.0370456,0.048989437,0.09821403,0.054320359,-0.028136149,0.165233331,-0.021314619,0.192459844,0.119738152,0.034762106,-0.062152336,
1990,12,31,0.06192521,0.046990961,0.008637905,0.068177355,0.071059429,0.024020343,0.032481747,0.026386355,-0.002375993,0.011413924,0.010873156,0.017681201,0.017441504,0,0.021314619,0.02423032,0.08187832,0,0,
1991,01,31,0.116435335,0.172368303,0.075010774,0.110889668,0.137434463,-0.04743053,0.060855103,0.086186946,0.049870456,0.074974236,0.08674898,0.115279239,0.019218338,0.058301066,0.07921257,0.084339832,-0.007145745,-0.017033339,0.042400243,
1991,02,28,0.102538598,0.049487575,0.097755767,0.014367973,0,0.029968908,0.030449077,0.078848163,0.010906271,0.018556036,0.097974193,0.024236666,0.03889578,0,0.124938737,0.070575548,0.045421349,0.034762106,-0.077153121,
1991,03,28,0.050751733,0.111367712,0.056860379,0.074695134,0.003590291,0.0161295,0.042068307,0.030401821,-0.053339206,-0.009178921,0.020531523,0.009776072,-0.018171388,0,-0.013237953,0.005173458,-0.01534183,-0.034762106,0.077153121,
